0¦SELF¦1581427559856¦1581427560473¦1581427559776¦1581427559856¦1581427560473¦1581427560473¦hello¦Vlad30,Iines;¦ ⁰h ¹³⁸e ¹³¹l ¹⁷⁰l ¹⁷⁸o¦hello¦
0¦SELF¦1581428012431¦1581428055178¦1581428054476¦1581428012431¦1581428055178¦1581428055178¦I know! That is hoorrible. I mean, in history we have mso many situations when such thouhts have prevailed, but I dont like it. Who knows thatr he will actually save them?¦Vlad30,Iines;¦ ⁰I ²⁷⁸  ²²³k ¹⁴⁷n ²¹⁶o ¹⁸⁵w ⁴³⁶! ⁶³⁹  ⁵⁷¹T ¹⁹³h ¹²³a ¹⁰⁰t ²³²  ²⁰¹i ¹¹⁶s ¹¹⁶  ²⁸⁵h ²⁵³o ¹⁸⁴o ⁷⁴⁹r ¹³²r ¹¹⁶i ⁷⁷⁴b ²⁵⁷l ¹⁰⁰e ¹³⁶⁸. ¹⁸⁵  ²⁸⁷I ¹⁵⁸  ¹⁶³m ³⁷e ²⁰⁰a ¹¹⁶n ⁹⁴³, ¹⁵³  ¹⁷⁹i ¹⁶⁹n ¹³⁴  ²²³h ¹³¹i ¹⁰¹s ¹¹⁶t ³⁸⁵o ²¹⁵r ¹¹⁶y ²⁰⁰  ²⁸⁶w ¹⁵³e ¹¹⁶  ²³¹h ⁶⁹a ¹³²v ⁸⁴e ¹¹⁶  ¹⁸⁴m ⁵¹⁸s ¹⁴⁷o ⁷²⁴  ¹⁶³m ⁶⁹a ¹⁴⁷n ²²⁹y ²⁸²  ¹³⁰⁹s ¹⁹⁴i ¹⁶⁹t ¹⁸⁹u ²¹⁶a ¹³⁹t ²³¹i ¹³¹o ¹⁸⁵n ¹³²s ¹³⁸  ³⁶⁴w ¹³⁸h ¹⁰⁰e ¹¹⁶n ¹⁵¹  ¹¹⁶s ²¹¹u ¹¹⁵c ¹⁸⁹h ²¹⁵  ²⁰⁰t ¹³⁴h ²⁵⁴o ²³²u ³³²h ¹⁰¹t ¹⁰⁸⁶s ¹⁸⁴  ²⁰⁰h ⁸⁵a ¹⁷⁸v ¹⁰¹e ⁷³⁹  ³⁶⁹p ⁴⁷r ¹⁵³e ²⁰¹v ¹⁰⁰a ¹⁴⁷i ¹⁵²l ¹¹⁷e ¹⁶²d ¹⁸⁵, ¹⁶⁹  ²⁰⁰b ²⁶²u ²⁰¹t ⁷²⁴  ¹¹⁶⁸I ²¹⁶  ¹³⁸d ¹³¹o ¹⁶⁹n ¹⁴⁷t ⁹⁵⁷  ²⁰⁰l ²⁰¹i ¹⁶²k ¹³⁸e ³³³  ²¹⁷i ²⁰⁰t ²⁵⁷. ²³¹  ²¹⁴⁹W ⁴⁷¹h ²³⁸o ²⁰⁰  ¹⁶³k ¹⁶⁹n ¹⁶⁹o ¹⁰⁰w ²⁰⁰s ¹⁷⁹  ²⁵⁴t ¹⁸⁵h ²⁰¹a ¹¹⁵t ¹⁶r ⁸¹⁸  ¹⁶⁹h ¹⁰⁰e ¹³²  ¹⁵³w ¹⁶³i ¹⁶⁹l ¹³²l ¹⁶⁹  ¹⁰¹a ²⁰¹c ²⁰⁰t ¹⁵⁴u ²⁰¹a ¹⁰⁰l ¹⁰¹l ²³¹y ²³¹  ¹³²s ¹⁵⁵a ¹³¹v ¹⁰⁰e ¹²³  ¹⁴⁷t ¹²⁰h ⁵³e ²⁰⁰m ⁷⁶⁹?¦I know! That is hoorrible▅. I mean, in history we have mso many ▅situations when such thouht▅s have prevailed, but ▅I dont like it. ▅▅Who knows thatr he will actually save them?¦
0¦OTHER¦1581428058098¦1581428112775¦1581428112073¦1581428058098¦1581428112775¦1581428112775¦exactlyand it will become this theoritical discussion about whats better but I think if ywe just focus on saving these three lives it'll be good Interesintg also how we havent even talked about Heather Sloane the kid¦Vlad30,Iines;¦ ⁰e ⁷⁰²x ¹⁰⁰a ²³⁹c ⁶⁶⁴t ¹⁰⁰l ¹²³y ⁵²³⁴a ¹⁰¹n ¹⁰⁰d ³¹  ⁵³⁶i ⁸⁵t ⁸⁵  ⁶⁵⁹w ⁶³i ¹⁵l ¹⁸⁵l ⁵⁷  ⁶³b ²⁰⁰e ¹⁸⁴c ¹⁶o ¹²¹m ¹⁰⁰e ¹⁰⁰  ⁷⁸t ²²h ¹³²i ³⁸⁹s ¹⁰⁴  ¹⁴⁷t ¹⁸⁵h ¹⁰⁰e ¹⁰⁰o ¹⁰¹r ¹⁰⁰i ⁵⁷⁰t ²¹⁵²i ⁸⁵c ¹¹⁵a ⁸⁵l ¹⁵³  ⁴⁶⁴d ¹⁵i ¹⁴²s ¹¹⁶c ²⁰⁰u ²⁸⁵s ¹³²s ⁸⁴i ¹⁶o ¹⁴⁷n ¹²²  ⁸⁴a ⁴⁷b ¹³¹o ⁶⁹u ⁷⁰t ³¹  ¹⁸⁴³w ⁶⁹h ¹¹⁶a ⁷⁰t ²¹⁶s ²⁷⁰  ²⁷⁰²b ¹⁴⁸e ⁶⁹t ¹³¹t ¹⁰¹e ⁸⁴r ¹¹⁶  ⁷⁵³b ¹⁷⁹u ⁸⁵t ⁵³  ³⁸⁵I ¹⁴⁷  ¹⁰⁰t ⁸⁴h ¹⁵i ¹⁶⁹n ²⁰¹k ¹³²  ⁶⁷⁰i ⁸⁵f ⁶³  ¹³⁷y ³⁷⁹w ⁵⁰²e ¹⁶⁹  ¹⁷⁰j ⁴⁴¹u ⁸⁵s ³¹t ¹⁰⁰  ²⁸⁵f ⁸⁵o ¹³²c ⁸⁴u ¹¹⁶s ⁶⁹  ¹⁰⁰o ⁶⁸n ⁰  ²⁰⁴⁴s ¹⁵a ¹⁸⁵v ⁸⁵i ¹⁴⁷n ⁶⁹g ³¹  ¹³⁹t ⁰h ²¹⁶e ¹³²s ¹⁰⁰e ³¹  ²⁶⁹t ¹⁰⁰h ¹¹⁶r ⁶⁹e ¹⁶⁹e ¹⁰⁰  ²¹⁷l ⁸⁴i ¹¹⁶v ⁸⁴e ¹⁷⁹s ¹²²  ¹³²i ¹³¹t ⁶⁵⁵' ²⁶³l ¹³⁷l ¹⁶  ¹¹⁶b ¹⁵⁴e ⁰  ²⁰⁰g ¹¹⁶o ¹¹⁶o ⁸⁵d ¹⁴⁷  ²⁹⁷⁹I ¹⁸⁶n ³¹⁶t ¹⁰¹e ⁸⁵r ¹⁰⁴e ¹³²s ¹¹⁵i ¹⁵⁸n ⁸³³t ⁷⁸⁹g ⁸⁵  ¹⁴⁷a ⁶⁹l ¹³¹s ⁵³o ³¹⁶  ¹⁴⁷h ²²o ¹⁶²w ²⁷³  ³³³w ¹⁵³e ¹⁰⁰  ⁷⁹h ⁶a ¹⁴⁷v ²³²e ¹⁰⁰n ¹⁵⁴t ¹⁶⁹  ³⁶⁴e ¹³⁷v ⁷⁹e ³⁸n ¹¹⁶  ⁴³⁸t ¹³⁷a ⁰l ¹³¹k ⁸⁵e ¹⁶²d ¹⁶  ¹⁵³a ¹⁰¹b ⁶⁸o ⁶³u ⁶⁹t ¹⁰⁰  ³⁴²⁷H ²⁵⁴e ⁶²a ⁵⁴t ¹¹⁶h ¹¹⁵e ¹⁶r ¹³⁷  ²⁶³S ¹³⁸l ¹³¹o ⁹³³a ¹²¹n ⁷⁹e ¹⁷³  ¹⁴⁷⁶t ⁸⁵h ¹⁰⁰e ⁷⁸  ¹⁵k ¹⁵⁴i ⁸⁵d¦exactly▅▅▅and it will become this theorit▅▅ical discussion about ▅whats ▅▅better but I think if ywe just focus on ▅▅saving these three lives it'll be good ▅▅Interesintg also how we havent even talked about ▅▅Heather Sloane ▅the kid¦
0¦SELF¦1581428117202¦1581428149091¦1581428148382¦1581428117202¦1581428149091¦1581428149091¦I agree. i t feels wrong to sacrifize? a kisd. Hoewever, I am not sure her weight will save the rest...¦Vlad30,Iines;¦ ⁰I ¹¹⁶⁹  ¹⁴⁸a ¹³¹g ²²²r ¹³²e ¹⁶³e ⁵²³. ¹⁸⁶  ²³²i ²⁴⁷  ⁷⁵⁵t ⁵⁷⁰  ²²¹f ¹⁸⁴e ⁷⁰²e ¹³¹l ¹¹⁶s ¹⁸⁵  ⁴⁷³w ²⁶³r ⁴⁸⁵o ²¹⁶n ²¹⁵g ²⁰³  ⁵⁴⁰t ¹⁴⁷o ¹⁷⁰  ¹⁰⁰s ¹⁶⁵a ⁶⁹c ¹⁶⁸r ¹⁸⁴i ⁴⁶⁸f ¹⁵⁹²i ⁸⁵z ¹⁸⁷e ²²⁹²? ⁷⁰³  ³⁶²a ¹²²  ²⁰⁰k ¹⁶²i ²³²s ¹⁰⁵⁶d ¹¹³⁷. ²⁰¹  ⁴⁵⁸H ¹⁹⁹o ¹⁶⁹e ¹²⁴⁹w ¹⁵³e ²⁶³v ⁹⁹e ¹⁰⁰r ³³⁸, ⁴⁴⁹  ⁶⁷³I ²⁰⁵  ¹³¹a ³¹m ⁷⁹⁰  ¹³⁸n ²⁰¹o ¹⁴¹t ⁴³³  ¹⁰⁷s ¹⁶⁹u ²³⁸r ¹⁶⁹e ¹¹⁶  ¹⁸⁵h ¹⁰⁰e ¹³²r ²⁶⁸  ³¹⁷w ⁷⁴⁹e ²⁸⁵i ²⁵⁴g ¹⁶³h ¹⁵⁴t ²⁰⁰  ³⁴⁸w ²⁰⁰i ²¹⁶l ¹²³l ²¹⁵  ⁴⁰¹s ³¹⁷a ¹⁸⁸v ¹¹⁶e ¹⁰⁰  ¹³¹t ¹³⁸h ⁹⁴e ¹⁸⁹  ⁵³r ¹³²e ¹⁵⁴s ¹³¹t ³³³. ¹³⁸. ¹³².¦I▅ agree. i t feels wrong to sacrif▅ize▅▅? a kis▅d▅. Hoe▅wever, I am not sure her weight will save the rest...¦
0¦OTHER¦1581428151778¦1581428160255¦1581428159546¦1581428151778¦1581428160255¦1581428160255¦ydah that true as wlel*e*well¦Vlad30,Iines;¦ ⁰y ⁷⁸d ⁷a ¹⁷⁸h ¹¹⁴³  ²⁰¹t ¹⁵h ¹⁰¹a ⁸⁴t ¹⁰¹  ¹⁰³³t ¹⁴⁷r ⁶u ¹⁴⁷e ¹⁶⁹  ¹¹⁶a ²⁴⁷s ⁶⁹  ¹⁶⁹w ¹⁰¹l ⁷⁸e ⁷³⁸l ⁶⁸⁶* ⁴³³e ¹⁴⁷⁸* ⁴³⁶w ²³¹e ¹⁶⁹l ¹¹⁶l¦ydah▅ that ▅true as wlel*e▅*well¦
0¦SELF¦1581428162687¦1581428168423¦1581428167712¦1581428162687¦1581428168423¦1581428168423¦Haha, we rock atv spelling!¦Vlad30,Iines;¦ ⁰H ¹³⁸a ¹¹⁶h ⁸⁴a ³⁴⁸, ¹⁶⁹  ¹⁶³w ¹⁷⁰e ¹⁸⁴  ¹¹⁶r ⁵²⁰o ²⁰⁴c ¹⁸⁵k ¹⁸⁵  ⁸⁴a ¹³²t ¹⁶⁹v ¹¹⁴⁹  ¹²²s ¹¹⁶p ¹⁰¹e ¹³¹l ¹¹⁷l ¹⁸⁴i ¹⁷⁰n ²⁰⁰g ⁴⁷⁹!¦Haha, we rock atv▅ spelling!¦
0¦OTHER¦1581428171219¦1581428186492¦1581428185783¦1581428171219¦1581428186492¦1581428186492¦D: oh no veven a wrong emoji :Dno *now i got it right¦Vlad30,Iines;¦ ⁰D ⁷⁵⁵: ¹⁷⁸⁸  ¹⁴⁶o ⁸⁵h ¹⁴⁷  ¹³⁷n ⁸⁵o ²³²  ⁸⁸⁶v ⁴⁶⁴e ²⁸⁴v ¹⁰¹e ¹³⁸n ¹³²  ³⁴⁷a ¹³⁷  ⁷⁶⁵w ¹⁸⁴r ⁸⁵o ⁸⁵n ¹⁰⁰g ⁸⁴  ¹⁶³e ¹⁰⁰m ¹⁵⁴o ¹¹⁶j ¹⁵³i ¹¹⁶  ¹⁴⁵⁷: ³⁰⁰D ¹⁸⁸⁷n ⁵³o ¹⁰⁰  ¹⁰⁸⁶* ³¹⁶n ⁷⁸o ¹⁵³w ¹¹⁷  ¹⁵³i ¹⁰⁰  ²⁰⁰g ⁷⁸o ²²³t ¹⁰⁰  ¹³²i ¹⁰⁰t ³¹  ²²²r ¹¹⁶i ¹¹⁶g ¹¹⁶h ⁷⁰t¦D:▅ oh no veven a wrong emoji ▅:D▅no ▅*now i got it right¦
0¦SELF¦1581428188713¦1581428189715¦1581428189007¦1581428188713¦1581428189715¦1581428189715¦Great!¦Vlad30,Iines;¦ ⁰G ¹⁸⁵r ⁸⁴e ¹⁶³a ¹³⁸t ⁴³²!¦Great!¦
0¦OTHER¦1581428194359¦1581428211981¦1581428211271¦1581428194359¦1581428211981¦1581428211981¦its a really different feeling to y*use this kind of chatt ol i fe¦Vlad30,Iines;¦ ⁰i ¹⁰¹t ⁵⁶⁹s ¹⁰⁰  ¹⁶³a ⁵³⁹  ¹⁶³⁶r ⁰e ¹¹⁶a ¹¹⁶l ¹³⁸l ⁶²y ⁸⁵  ⁴¹⁷d ⁵⁴i ¹⁴⁷f ¹²²f ¹¹⁶e ⁸⁴r ⁷⁸e ¹²²n ⁶³t ⁸⁴  ²⁰⁰f ⁸⁵e ⁶⁹e ³⁰¹l ⁷⁸i ²⁰⁰n ⁶⁹g ⁸⁵  ⁸⁴t ⁴⁷o ¹¹⁶  ⁶⁰²y ¹¹⁰²* ³²²u ⁷⁸s ⁸⁵e ³⁷  ¹⁶³t ⁶⁹h ⁶⁹i ¹⁰⁰s ¹⁰¹  ¹³¹k ¹¹⁶i ¹⁰¹n ¹¹⁶d ⁶⁸  ¹⁰¹o ⁸⁴f ³¹  ¹⁶³⁴c ⁸⁵h ⁸⁴a ⁸⁵t ¹³¹t ¹¹⁵  ⁸⁹²o ²¹⁶l ¹⁵¹⁸  ²⁸⁹³i ⁰  ¹⁴⁷f ¹⁰⁰e¦its a ▅really different feeling to y▅*use this kind of ▅chatt ol▅ ▅▅i fe¦
0¦SELF¦1581428212004¦1581428212004¦1581428211298¦1581428212004¦1581428212004¦1581428212004¦y¦Vlad30,Iines;¦ ⁰y¦y¦
0¦OTHER¦1581428212082¦1581428212082¦1581428211371¦1581428212082¦1581428212082¦1581428212082¦e¦Vlad30,Iines;¦ ⁰e¦e¦
0¦SELF¦1581428212119¦1581428212119¦1581428211420¦1581428212119¦1581428212119¦1581428212119¦e¦Vlad30,Iines;¦ ⁰e¦e¦
0¦OTHER¦1581428212135¦1581428212282¦1581428211572¦1581428212135¦1581428212282¦1581428212282¦l ¦Vlad30,Iines;¦ ⁰l ¹⁴⁷ ¦l ¦
0¦SELF¦1581428212320¦1581428212320¦1581428211609¦1581428212320¦1581428212320¦1581428212320¦s¦Vlad30,Iines;¦ ⁰s¦s¦
0¦OTHER¦1581428212420¦1581428218419¦1581428217752¦1581428212420¦1581428218419¦1581428218419¦like i beome fmore insecure writer¦Vlad30,Iines;¦ ⁰l ⁸⁵i ³⁶⁴k ¹¹⁵e ¹⁰⁰  ²³⁸i ⁸⁵  ¹⁴⁷b ⁸⁵e ²⁶⁹o ⁷⁸m ⁸⁶⁹e ²⁷⁰  ²⁴⁸f ⁶⁸⁷m ⁶⁹o ⁰r ¹¹⁶e ¹⁰⁰  ¹⁰⁰i ¹⁶⁹n ⁷⁸s ³⁸e ²⁴⁸c ⁶⁹u ¹³²r ⁰e ¹⁵³  ⁶¹⁸w ¹⁶⁹r ¹⁰⁰i ¹⁰⁰t ¹⁰⁰e ⁰r¦like i beome fmore insecure writer¦
0¦SELF¦1581428225411¦1581428258878¦1581428258254¦1581428225411¦1581428258878¦1581428258878¦Yeah, im not used to sending of text with eerrors...So. Do you agree that they should throw out Nick?¦Vlad30,Iines;¦ ⁰Y ²⁵⁵e ²¹⁵a ¹³⁸h ³³¹, ²⁰⁰  ²⁴⁶i ⁸⁸⁵m ¹⁵³  ¹¹⁵n ²¹⁵o ¹⁴⁷t ¹²²  ¹⁶³u ¹⁰⁰s ¹⁵³e ¹⁴⁷d ¹³⁷  ¹³¹t ¹¹⁶o ²⁰⁰  ⁸³s ¹⁵⁴e ¹¹⁶n ¹¹⁶d ²¹⁵i ¹⁵³n ⁹⁴g ¹²²  ¹⁸⁴o ¹⁷⁸f ³⁰¹  ³³⁷t ¹⁴⁷e ²³⁸x ¹³²t ²⁰⁰  ¹⁶²w ¹⁷³i ¹³⁸t ⁹⁹h ¹⁶³  ¹³¹e ¹⁶⁹e ¹⁵r ¹⁶⁹r ¹¹⁰⁶o ¹⁶⁹r ³⁶²s ⁹⁷⁶. ¹³². ¹⁵². ⁴¹³⁴S ³¹⁵o ¹⁰⁶⁹. ³⁴⁶  ³³⁷D ²⁶⁹o ²⁶²  ²³¹y ¹⁸⁵o ²¹⁵u ²⁵⁷  ⁵²¹a ²¹⁵g ¹⁸⁴r ¹⁰⁰e ¹⁵³e ⁵⁴⁶  ⁸⁰⁵t ¹⁸⁴h ¹³¹a ⁸⁵t ²³⁸  ³⁶⁶t ¹³⁸h ¹⁶⁶e ¹¹⁶y ²²²  ¹⁶²s ²¹⁵h ²¹⁵o ¹⁷⁰u ²⁰⁰l ¹⁵²d ¹³¹  ¹³¹t ²⁵³h ²³⁵r ²³⁷o ⁵⁰⁴⁶w ²³¹  ²⁵³o ¹⁸⁴u ¹⁶²t ²⁰⁰  ¹⁶⁰⁷N ¹³⁸i ¹⁴⁷c ¹⁶⁸k ³⁸⁵?¦Yeah, im not used to sending of text with eerr▅ors...▅▅▅So▅. Do you agree that they should thro▅▅▅w out ▅Nick?¦
0¦OTHER¦1581428261326¦1581428288667¦1581428288106¦1581428261326¦1581428288667¦1581428288667¦Yeah, lets throw him outor i mean they will thro w him outi think that is the only logical answer actually ¦Vlad30,Iines;¦ ⁰Y ²³¹e ¹⁰⁰a ²²h ⁵⁴⁷, ⁵⁰⁰  ³⁵³l ¹⁰⁰e ⁶³t ¹³⁸s ¹¹⁵  ²⁸⁵t ⁴¹⁵h ¹³¹r ⁸⁵o ¹⁷²w ¹⁷⁹  ²⁹⁹h ⁷i ¹⁹³m ⁸⁵  ¹¹⁵o ⁷u ¹¹⁵t ¹³³²o ¹⁰⁰r ¹⁰⁰  ¹²¹⁶i ¹⁸⁴  ¹¹⁶m ⁶⁹e ³¹a ¹⁶⁹n ⁸⁴  ¹⁰⁰⁰t ⁶²h ⁸⁴e ¹³¹y ²³⁸  ³⁸⁴w ⁵⁰⁰i ⁰l ²⁰¹l ⁰  ²¹⁵t ⁸⁵h ³¹r ¹⁴⁷o ¹⁶⁸  ⁵³¹w ³²³  ⁴⁸³h ¹⁶i ¹⁶²m ⁸⁵  ⁸⁴o ¹⁶u ¹⁵³t ⁷⁵⁸⁷i ⁹⁹  ⁰t ¹³⁸h ⁰i ¹⁴⁷n ¹⁸⁵k ¹⁰⁰  ¹⁶t ¹⁵³h ⁷⁸a ⁶⁹t ⁹⁹  ¹¹⁶i ¹³⁷s ¹¹⁵  ¹³²t ⁸⁴h ¹¹⁶e ¹⁰⁰  ⁵²⁰o ⁸⁴n ¹³¹l ¹⁰¹y ⁸⁴  ⁹⁹l ⁹⁵⁴o ⁰g ⁰i ⁰c ⁰a ¹⁶l ⁰  ⁰a ⁶⁹n ⁴⁶s ²⁰⁵w ¹⁶⁹e ²¹⁶r ¹⁴⁶  ¹⁸⁵a ¹⁵³c ¹⁶³t ¹⁰⁰u ¹⁰⁰a ¹²¹l ¹¹⁶l ⁰y ¹³³⁵ ¦Yeah, lets throw him out▅or ▅i mean ▅they will thro w him out▅▅▅i think that is the only logical answer actually▅ ¦
0¦SELF¦1581428292831¦1581428344425¦1581428343989¦1581428292831¦1581428344425¦1581428344425¦Yes. If otit wasent for the ballon pilot's skills h i would otherwise have said that they scould for example throe the dice in order to decide, but that is not possible here¦Vlad30,Iines;¦ ⁰Y ³⁰¹e ²⁶²s ⁷⁰⁰. ⁴⁴¹  ³³¹I ²⁵¹f ⁴⁶⁹  ²¹⁵o ¹²³t ¹⁷⁷⁰i ²⁰¹t ²¹⁵  ²⁷²w ¹⁷⁰a ¹⁴⁷s ¹⁸⁵e ¹⁵³n ¹³¹t ¹¹⁶  ³⁷³f ¹⁰⁰o ¹¹⁶r ²⁴⁷  ⁴⁴³⁵t ¹⁸⁴h ¹¹⁶e ¹⁴⁰⁰  ⁴⁰¹b ¹³¹a ²⁶⁹l ¹¹⁶l ¹⁸⁴o ²⁵¹n ³⁰¹  ⁴⁸³p ²³¹i ³⁸⁸l ²⁷¹o ²³⁷t ⁶⁵³' ¹³¹s ¹⁶⁹  ¹¹⁵s ¹³²k ¹⁹⁹i ²⁰⁴l ¹³⁷l ¹⁸²s ⁶⁵⁸  ⁴¹⁵h ¹⁶⁴⁶  ²³⁷i ⁵⁹⁹  ²¹⁵w ¹¹⁶o ¹⁸⁴u ²⁰⁰l ⁸⁴d ¹⁴⁷  ⁴⁶⁹o ¹³¹t ¹⁰⁰h ¹²²e ¹³¹r ⁵³⁶w ²⁹²i ¹³¹s ¹⁵⁷e ¹⁶³  ¹⁷³h ⁸⁴a ⁴³⁵v ¹⁰¹e ¹²¹  ⁴⁴²s ³⁰⁰a ¹¹⁶i ¹⁵³d ¹³¹  ¹¹⁶t ¹⁰⁰h ¹⁵³a ¹³¹t ²⁰⁰  ²⁰⁰t ¹¹⁵h ¹¹⁶e ⁵³⁷y ²⁴⁷  ¹⁸⁵s ¹⁰³⁰c ¹³¹o ¹⁸⁴u ¹⁸⁵l ¹⁶⁹d ¹⁰⁰⁴  ⁸³¹f ¹⁸⁴o ¹⁰⁴r ¹⁶²  ²⁶⁹e ²⁵⁴x ¹⁸⁴a ¹³¹m ²⁰⁰p ¹⁶⁹l ¹³¹e ³⁶⁸  ¹⁴³⁹t ¹⁰⁰h ²⁸³r ⁷³⁰o ¹⁵⁴e ¹¹⁶  ¹⁴⁶t ¹¹⁶h ¹⁵³e ¹⁷⁰  ¹⁶²d ¹⁶⁹i ²⁶²c ²⁵³e ¹⁷⁴⁶  ²³⁷i ¹⁸⁵n ¹⁶⁴  ¹⁹⁹o ¹²²r ²¹⁵d ¹⁴⁷e ¹⁵³r ¹¹⁶  ¹³¹t ¹³⁰o ²¹³  ⁴³¹d ¹⁶⁹e ²¹⁶c ¹⁶⁷i ²¹⁹d ¹⁸⁴e ¹²², ²⁰⁰  ¹⁹⁹b ²⁷⁸u ¹⁵⁷t ⁷³⁸  ¹²⁴⁰t ²⁰¹h ¹³¹a ¹⁰⁰t ¹⁸⁴  ²³¹i ¹³²s ¹²²  ¹⁶²n ¹⁶⁸o ²⁴⁷t ⁴¹⁶  ²²¹p ¹⁶²o ¹⁰⁰s ¹⁵⁴s ¹¹⁶i ²³⁰b ²²²l ¹¹⁸e ¹⁰⁰  ¹⁸⁸h ¹²⁰e ¹¹⁵r ¹³⁵e¦Yes. If ot▅it wasent for ▅▅▅the▅ ballon pilot's skills h▅ i would otherwise have said that they s▅could▅ for example ▅throe the dice▅ in order to decide, but ▅that is not possible here¦
0¦OTHER¦1581428347076¦1581428378708¦1581428378363¦1581428347076¦1581428378708¦1581428378708¦Yeah I wonder though if he could teach the prodicgy kid how to steer the balloon? and then he could be thrown outee*seem¦Vlad30,Iines;¦ ⁰Y ²⁵³e ¹⁰⁰a ³⁸⁴h ²⁸⁵  ²⁷⁴⁹I ⁰  ⁰w ⁰o ¹⁶n ⁰d ¹³⁸e ⁷⁸r ⁶⁹  ¹⁵³t ⁷⁸h ³⁷o ¹³²u ⁸⁴³g ⁸²⁸h ¹¹⁵  ⁵⁰⁰i ¹⁴⁷f ¹¹⁹  ⁵⁶⁶h ¹¹⁶e ⁹⁹  ²⁶⁹c ⁶⁸o ⁶²u ³²²l ⁰d ⁰  ¹⁷⁸t ¹⁸⁸e ¹⁰⁰a ¹⁶⁹c ¹⁰⁰h ¹⁰⁰  ¹⁸⁴t ⁷⁸h ⁸⁵e ⁸⁴  ¹⁵p ¹⁵³r ⁸⁵o ¹⁴⁶d ¹⁰⁰i ¹³¹c ⁸²⁵g ²³¹y ¹⁰⁰  ⁵³²k ¹³⁷i ¹⁴⁷d ¹¹⁶  ⁶⁹⁹h ⁶⁹o ³¹w ¹⁷⁰  ¹⁰⁰t ⁶⁸o ¹⁰⁰  ⁷⁸s ¹³⁷t ¹⁸⁵e ¹⁴⁶e ⁸⁵r ²⁰⁰  ¹⁶⁹t ⁷⁸h ⁸⁴e ¹¹⁶  ⁵⁴⁶b ⁸⁴a ⁶²l ¹⁸⁵l ¹¹⁵o ¹⁵³o ⁶⁶n ³⁸⁰? ¹⁷¹⁸  ¹⁰⁹¹a ⁵⁴n ¹¹⁵d ¹⁰⁰  ⁶⁹t ⁰h ¹⁹⁹e ¹¹⁶n ¹⁰⁰  ⁴⁵⁵h ⁸⁵e ¹⁸⁴  ¹⁰⁰c ⁸⁴o ⁸⁴u ¹⁴⁷l ⁰d ¹⁰⁰  ¹⁵³b ¹¹⁶e ⁸⁴  ⁷⁸t ¹²¹h ¹⁰⁰r ⁵⁹⁹o ²³¹w ⁸⁴n ¹³²  ¹⁶⁸o ¹¹⁶u ⁶⁹t ⁶¹⁰⁹e ¹⁸⁵e ¹²¹⁶* ³²³s ⁰e ³³¹e ⁰m¦Yeah ▅▅I wonder though if he could teach the prodicgy kid how to steer the balloon?▅ ▅and then he could be thrown out▅▅▅ee▅*seem¦
0¦SELF¦1581428379123¦1581428379123¦1581428378892¦1581428379123¦1581428379123¦1581428379123¦M¦Vlad30,Iines;¦ ⁰M¦M¦
0¦OTHER¦1581428379238¦1581428379260¦1581428378910¦1581428379238¦1581428379260¦1581428379260¦s a b¦Vlad30,Iines;¦ ⁰s ¹⁶  ⁶a ⁰  ⁰b¦s a b¦
0¦SELF¦1581428379423¦1581428379423¦1581428379096¦1581428379423¦1581428379423¦1581428379423¦a¦Vlad30,Iines;¦ ⁰a¦a¦
0¦OTHER¦1581428379454¦1581428379538¦1581428379192¦1581428379454¦1581428379538¦1581428379538¦it ¦Vlad30,Iines;¦ ⁰i ⁶t ⁷⁸ ¦it ¦
0¦SELF¦1581428379538¦1581428379538¦1581428379198¦1581428379538¦1581428379538¦1581428379538¦y¦Vlad30,Iines;¦ ⁰y¦y¦
0¦OTHER¦1581428379623¦1581428381842¦1581428381498¦1581428379623¦1581428381842¦1581428381842¦harsh ¦Vlad30,Iines;¦ ⁰h ⁰a ²⁵³r ⁶⁷⁷s ⁷h ¹²⁸² ¦harsh▅ ¦
0¦SELF¦1581428381864¦1581428381864¦1581428381531¦1581428381864¦1581428381864¦1581428381864¦b¦Vlad30,Iines;¦ ⁰b¦b¦
0¦OTHER¦1581428381958¦1581428382026¦1581428381725¦1581428381958¦1581428382026¦1581428382026¦ma¦Vlad30,Iines;¦ ⁰m ⁶⁸a¦ma¦
0¦SELF¦1581428382110¦1581428382110¦1581428381764¦1581428382110¦1581428382110¦1581428382110¦e¦Vlad30,Iines;¦ ⁰e¦e¦
0¦OTHER¦1581428382110¦1581428382378¦1581428382037¦1581428382110¦1581428382378¦1581428382378¦ybe¦Vlad30,Iines;¦ ⁰y ¹³¹b ¹³⁷e¦ybe¦
