0¦OTHER¦1581427559385¦1581427559898¦1581427559838¦1581427559385¦1581427559898¦1581427559898¦hello¦Vlad31,Malin;¦ ⁰h ²²e ¹⁵⁸l ²²⁵l ¹⁰⁸o¦hello¦
0¦OTHER¦1581428011829¦1581428054650¦1581428054629¦1581428011829¦1581428054650¦1581428054650¦I know! That is hoorrible. I mean, in history we have mso many situations when such thouhts have prevailed, but I dont like it. Who knows thatr he will actually save them?¦Vlad31,Malin;¦ ⁰I ²⁹³  ²²¹k ¹²²n ³⁰⁰o ⁸⁷w ⁵¹⁶! ⁵⁵⁹  ⁶⁷²T ⁹¹h ¹²⁷a ¹⁰⁸t ²⁹³  ¹⁶⁷i ⁷⁹s ¹¹⁹  ³⁴⁴h ²¹⁰o ¹⁷⁰o ⁷⁵⁹r ¹²⁵r ¹⁰⁷i ⁷⁸⁰b ³¹⁵l ⁷e ¹⁴²³. ²⁰¹  ³⁰⁸I ¹⁰⁹  ¹⁵⁸m ¹⁰e ²⁴⁰a ¹⁰⁷n ¹⁰¹⁸, ⁷⁶  ¹⁸⁹i ¹⁵³n ¹³⁶  ²⁶⁴h ⁹⁴i ⁹¹s ¹²³t ⁴⁰⁶o ²¹⁶r ⁹⁵y ²⁰²  ³¹⁰w ¹¹⁹e ¹²⁶  ²⁶⁸h ¹⁰a ¹⁶⁰v ⁷⁷e ¹⁰⁵  ²⁵⁶m ⁵²⁶s ⁷⁷o ⁷³²  ¹⁵³m ⁷⁷a ¹²³n ²⁶⁷y ²⁹⁸  ¹³³⁷s ¹²³i ¹⁸⁶t ²⁰¹u ²⁰⁴a ¹²³t ²⁹⁴i ⁷⁷o ²¹⁷n ⁹⁰s ¹³⁷  ³⁹³w ¹⁰⁷h ⁹⁷e ¹¹⁸n ¹⁸⁹  ⁷⁸s ²¹⁷u ¹⁰⁶c ²¹⁸h ²⁰⁰  ²⁰¹t ¹³⁶h ²⁸⁹o ¹⁹³u ⁴¹⁹h ⁹t ¹¹⁰⁷s ²¹⁶  ¹⁵²h ⁷⁹a ¹⁸⁶v ⁹³e ⁸¹³  ³¹⁵p ⁸r ¹⁶⁴e ²²⁹v ⁷⁷a ¹⁵⁵i ¹⁵⁴l ¹⁰⁸e ²⁶³d ⁸⁴, ¹⁷⁴  ¹⁹⁹b ³³⁰u ¹²⁷t ⁷⁸⁴  ¹¹²⁶I ²⁰⁵  ¹⁴³d ¹²³o ²⁵¹n ⁷⁷t ⁹⁴⁴  ³¹²l ⁹³i ¹⁵²k ¹⁴³e ³³⁷  ²⁹⁰i ¹²³t ³⁰⁰. ³⁰⁶  ²⁰⁴⁹W ⁵¹¹h ²⁰⁷o ²⁰¹  ¹⁴²k ²³⁷n ⁹³o ¹⁰⁸w ²⁰¹s ²⁴⁶  ²⁰³t ²⁰¹h ³¹³a ¹⁰t ⁴r ⁸⁰⁵  ¹⁵⁴h ¹⁰⁰e ¹³¹  ¹⁵⁹w ¹⁴⁹i ¹⁸⁴l ¹¹³l ²³³  ⁹a ²⁹⁷c ¹⁴²t ¹⁵⁹u ²¹⁹a ⁷⁶l ⁹³l ²⁴⁷y ²⁹⁶  ⁶²s ¹⁵³a ¹³⁸v ⁹⁴e ¹⁰⁷  ¹⁵⁵t ¹⁴⁰h ⁸e ²⁶⁸m ⁸²⁹?¦I know! That is hoorrible▅. I mean▅, in history we have mso many ▅situations when such thouht▅s have prevailed, but ▅I dont like it. ▅▅Who knows thatr he will actually save them?¦
0¦SELF¦1581428057346¦1581428112027¦1581428112003¦1581428057346¦1581428112027¦1581428112027¦exactlyand it will become this theoritical discussion about whats better but I think if ywe just focus on saving these three lives it'll be good Interesintg also how we havent even talked about Heather Sloane the kid¦Vlad31,Malin;¦ ⁰e ⁷¹⁰x ¹⁰³a ²⁴⁴c ⁶⁵⁰t ¹⁰⁹l ¹¹⁰y ⁵²³³a ¹¹⁵n ⁸⁸d ⁹³  ⁴⁸⁷i ⁸⁰t ⁸⁷  ⁶⁵⁹w ⁷¹i ⁴⁸l ¹⁴¹l ⁶⁵  ⁶⁰b ²⁰⁰e ¹⁸⁴c ⁵⁷o ⁷⁷m ¹⁰⁰e ⁹¹  ⁷⁰t ⁹⁵h ⁷⁵i ³⁸⁸s ¹⁰⁸  ¹³⁹t ¹⁹²h ¹⁰²e ⁹³o ¹⁰⁷r ⁹⁴i ⁵⁵¹t ²¹⁷²i ⁸⁵c ¹²¹a ⁸³l ¹⁴⁷  ⁴⁷⁰d ⁵³i ⁹⁹s ¹²¹c ²⁰²u ²⁷⁷s ¹²⁹s ⁹⁶i ⁵⁷o ¹⁰⁰n ¹¹⁴  ⁹³a ⁸⁹b ⁹⁰o ⁷²u ⁷²t ⁶⁵  ¹⁸⁰⁰w ⁷⁴h ¹¹²a ⁶⁷t ²¹⁵s ²⁷⁵  ²⁶⁹⁶b ¹⁶¹e ⁷⁰t ¹²⁵t ¹⁰¹e ⁸¹r ¹⁰⁷  ⁷⁵⁸b ¹⁹³u ⁷¹t ¹⁰⁰  ³³⁵I ¹⁶²  ⁹³t ⁸⁵h ⁵⁸i ¹³⁴n ²⁰⁰k ¹²⁵  ⁶⁶⁷i ⁸⁴f ⁷¹  ¹²⁵y ³⁹³w ⁴⁹⁵e ¹⁵⁴  ¹⁸⁴j ⁴⁴⁸u ⁸⁶s ⁷⁰t ⁶¹  ²⁸⁸f ⁷⁴o ¹⁴⁰c ⁸²u ¹¹¹s ⁷⁴  ⁹⁸o ⁷⁰n ⁵²  ¹⁹⁸⁹s ⁶⁰a ¹⁴⁵v ⁸⁰i ¹⁵²n ⁶²g ⁸²  ⁸²t ⁶⁰h ¹⁷²e ¹³¹s ⁷⁹e ¹⁰¹  ²¹⁴t ⁹⁹h ¹²⁵r ⁷⁰e ¹⁵²e ¹⁰⁶  ²¹¹l ⁸¹i ¹³⁰v ⁷²e ¹⁸⁵s ¹¹⁵  ¹³⁶i ¹³⁶t ⁶⁶⁰' ²⁶¹l ¹³⁰l ⁶¹  ⁸³b ¹⁴³e ⁵²  ¹⁴¹g ¹¹⁵o ¹³¹o ⁷⁰d ¹⁶³  ²⁹⁷⁵I ¹⁸⁴n ³¹⁰t ¹¹¹e ⁸⁷r ⁹⁸e ¹³²s ¹¹³i ¹⁶⁴n ⁸²⁹t ⁷⁸⁵g ⁹³  ¹⁴²a ⁷⁰l ¹²⁵s ⁶⁹o ³¹³  ¹³⁴h ⁷¹o ¹²⁹w ²⁵⁸  ³³⁶w ¹⁵³e ⁹⁴  ⁸⁸h ⁵¹a ¹¹⁰v ²²⁷e ¹⁰⁰n ¹⁵¹t ¹⁶⁴  ³⁶⁴e ¹³³v ⁹³e ⁷⁴n ⁷⁸  ⁴⁸⁶t ⁸⁴a ³⁹l ⁹¹k ⁸⁵e ¹⁵⁹d ⁶⁴  ¹⁰⁸a ¹⁰¹b ⁷⁷o ⁵⁷u ⁷²t ⁹²  ³⁴³¹H ²⁶⁰e ⁶⁰a ⁹⁴t ⁷⁷h ¹¹⁵e ⁵⁰r ⁹³  ²⁷³S ¹²⁴l ¹⁴⁹o ⁹²⁴a ¹¹⁶n ⁸²e ¹⁸⁰  ¹⁴⁷⁵t ⁸⁴h ⁸⁸e ⁸⁵  ⁵⁸k ¹¹⁴i ⁸¹d¦exactly▅▅▅and it will become this theorit▅▅ical discussion about ▅whats ▅▅better but I think if ywe just focus on ▅saving these three lives it'll be good ▅▅Interesintg also how we havent even talked about ▅▅Heather Sloane ▅the kid¦
0¦OTHER¦1581428116709¦1581428148468¦1581428148443¦1581428116709¦1581428148468¦1581428148468¦I agree. i t feels wrong to sacrifize? a kisd. Hoewever, I am not sure her weight will save the rest...¦Vlad31,Malin;¦ ⁰I ¹⁰⁴⁵  ¹⁴³a ¹²²g ³³⁰r ⁷e ¹⁷⁹e ⁶¹⁹. ¹⁰⁴  ³¹³i ¹⁹³  ⁸²⁸t ⁵⁰⁷  ²¹⁶f ¹⁴¹e ⁷⁶⁶e ⁶¹l ¹²⁴s ²³⁰  ⁵⁰⁷w ²¹⁵r ⁵⁰⁸o ²⁰⁴n ²⁰⁵g ²⁰⁶  ⁶²⁴t ⁸o ²⁸⁵  ⁸s ²⁰⁹a ⁷c ²⁹²r ⁷⁵i ⁵⁴¹f ¹⁵³⁷i ⁷⁵z ²³⁷e ²³⁴²? ⁶¹⁹  ⁴²¹a ⁷  ²⁸⁹k ¹¹⁹i ³⁰⁰s ¹⁰¹⁹d ¹¹²⁵. ²⁰⁰  ⁵¹⁰H ¹²³o ¹⁸⁴e ¹²³⁰w ²⁰⁴e ³⁰⁵v ³e ¹¹⁶r ³⁹⁵, ⁴¹⁵  ⁷¹⁴I ¹²⁶  ¹⁴³a ²m ⁸⁵⁹  ⁹³n ²¹²o ¹²³t ⁵⁰³  ⁷s ²⁸³u ²¹⁵r ¹⁰⁸e ¹⁰⁸  ¹⁹⁰h ¹⁰⁷e ¹²⁸r ²⁷³  ⁴²⁰w ⁷¹⁷e ³⁰²i ¹⁹⁸g ¹²⁴h ¹⁹⁹t ¹⁹⁹  ⁴¹⁴w ¹⁰⁷i ³⁰⁴l ⁸l ²³⁴  ⁴⁶⁹s ³⁰⁶a ¹²⁴v ¹⁰⁸e ¹⁰⁸  ¹²⁷t ¹⁵⁰h ⁹³e ¹⁸⁷  ⁶⁰r ¹²⁹e ¹⁵³s ¹²⁴t ³⁴⁰. ¹²⁶. ¹³⁸.¦I▅ agree. i t feels wrong to sacrif▅ize▅▅? a kis▅d▅. Hoe▅wever, I am not sure her weight will save the rest...¦
0¦SELF¦1581428151034¦1581428159516¦1581428159490¦1581428151034¦1581428159516¦1581428159516¦ydah that true as wlel*e*well¦Vlad31,Malin;¦ ⁰y ⁸⁴d ³⁸a ¹³⁷h ¹¹⁵¹  ¹⁸⁷t ⁶⁴h ⁷¹a ⁸¹t ⁹¹  ¹⁰⁴⁷t ¹³⁴r ⁴⁹u ¹¹²e ¹⁷²  ¹¹⁰a ²⁴⁶s ⁶²  ¹⁷⁰w ¹⁰¹l ⁸²e ⁷⁴³l ⁶⁷⁹* ⁴³⁸e ¹⁴⁶⁸* ⁴⁴⁷w ²³²e ¹⁶⁶l ¹²⁰l¦ydah▅ that ▅true as wlel*e▅*well¦
0¦OTHER¦1581428162162¦1581428167796¦1581428167770¦1581428162162¦1581428167796¦1581428167796¦Haha, we rock atv spelling!¦Vlad31,Malin;¦ ⁰H ⁶a ¹⁴⁸h ⁹³a ³⁷², ¹³⁹  ¹⁷¹w ²⁰⁴e ¹³⁸  ¹²³r ⁵⁵⁵o ²⁰²c ¹³⁹k ²⁷⁷  ⁶a ¹³²t ²⁶⁶v ¹¹²⁹  ⁵s ¹⁶³p ⁷⁸e ¹⁴²l ¹¹²l ²¹⁹i ¹³⁷n ²⁰²g ⁴⁷⁶!¦Haha, we rock atv▅ spelling!¦
0¦SELF¦1581428170477¦1581428185748¦1581428185721¦1581428170477¦1581428185748¦1581428185748¦D: oh no veven a wrong emoji :Dno *now i got it right¦Vlad31,Malin;¦ ⁰D ⁷⁵⁹: ¹⁷⁷⁸  ¹⁵³o ⁸⁰h ¹⁵¹  ¹³⁴n ⁸¹o ²³⁶  ⁸⁹⁴v ⁴⁶⁷e ²⁷⁶v ¹⁰⁹e ¹¹³n ¹⁵²  ³⁴⁶a ¹³³  ⁷⁷²w ¹⁸²r ⁹¹o ⁸⁵n ⁸⁹g ⁹²  ¹⁶²e ⁹¹m ¹⁵⁴o ¹²¹j ¹⁴¹i ¹³¹  ¹⁴⁵⁹: ²⁸⁵D ¹⁸⁹⁶n ⁶¹o ⁸¹  ¹⁰⁷⁸* ³³⁶n ⁷³o ¹⁴⁹w ¹²⁴  ¹⁶¹i ¹⁰²  ¹⁸¹g ⁸⁵o ²³¹t ¹⁰¹  ¹²⁹i ⁹⁵t ⁹¹  ¹⁵³r ¹¹¹i ¹³⁴g ¹¹¹h ⁷¹t¦D:▅ oh no veven a wrong emoji ▅:D▅no ▅*now i got it right¦
0¦OTHER¦1581428188080¦1581428189096¦1581428189069¦1581428188080¦1581428189096¦1581428189096¦Great!¦Vlad31,Malin;¦ ⁰G ³¹⁰r ⁵e ¹³²a ¹²⁴t ⁴⁴⁵!¦Great!¦
0¦SELF¦1581428193610¦1581428211344¦1581428211316¦1581428193610¦1581428211344¦1581428211344¦its a really different feeling to y*use this kind of chatt ol i fee¦Vlad31,Malin;¦ ⁰i ¹¹⁷t ⁵⁶⁷s ¹⁰⁰  ¹⁰¹a ⁶⁰⁰  ¹⁶²⁹r ³⁵e ⁸²a ¹²¹l ¹³²l ⁷³y ⁷¹  ⁴¹⁵d ⁷⁰i ¹³¹f ¹³³f ¹²⁰e ⁶⁷r ⁸⁹e ¹¹¹n ⁷¹t ⁹⁰  ¹⁹⁶f ⁸⁰e ⁸²e ²⁹⁷l ⁶⁸i ²⁰²n ⁸¹g ⁷¹  ⁸⁴t ¹⁰¹o ⁷¹  ⁶⁰¹y ¹¹⁰⁶* ³⁰⁵u ⁹²s ⁸⁰e ⁹⁵  ¹⁰²t ⁷³h ⁶⁷i ⁹¹s ¹¹¹  ¹²⁷k ¹²¹i ¹⁴²n ⁷¹d ⁷³  ¹⁰¹o ⁸⁰f ⁸¹  ¹⁵⁸⁴c ⁹³h ⁷⁸a ⁸⁰t ¹⁴⁵t ⁹⁰  ⁹⁰⁶o ²²²l ¹⁵²⁴  ²⁸⁷⁸i ⁵¹  ¹⁰⁰f ¹⁰²e ¹⁰⁴e¦its a ▅really different feeling to y▅*use this kind of ▅chatt ol▅ ▅▅i fee¦
0¦OTHER¦1581428211352¦1581428211352¦1581428211323¦1581428211352¦1581428211352¦1581428211352¦y¦Vlad31,Malin;¦ ⁰y¦y¦
0¦SELF¦1581428211435¦1581428211435¦1581428211407¦1581428211435¦1581428211435¦1581428211435¦l¦Vlad31,Malin;¦ ⁰l¦l¦
0¦OTHER¦1581428211505¦1581428211505¦1581428211477¦1581428211505¦1581428211505¦1581428211505¦e¦Vlad31,Malin;¦ ⁰e¦e¦
0¦SELF¦1581428211536¦1581428211687¦1581428211659¦1581428211536¦1581428211687¦1581428211687¦ l¦Vlad31,Malin;¦ ⁰  ¹⁵¹l¦ l¦
0¦OTHER¦1581428211694¦1581428211694¦1581428211702¦1581428211694¦1581428211694¦1581428211694¦s¦Vlad31,Malin;¦ ⁰s¦s¦
0¦SELF¦1581428211759¦1581428217733¦1581428217704¦1581428211759¦1581428217733¦1581428217733¦ike i beome fmore insecure writer¦Vlad31,Malin;¦ ⁰i ³⁶⁶k ¹¹¹e ⁹⁸  ²⁴⁸i ⁹²  ¹³⁴b ⁸⁹e ²⁶⁵o ⁷⁹m ⁸⁷⁸e ²⁶⁰  ²⁵³f ⁶⁷⁹m ⁷⁶o ⁵¹r ⁶⁰e ¹⁰⁵  ¹⁰⁸i ¹⁶⁹n ⁷⁶s ⁸¹e ²⁰³c ⁷²u ¹²²r ⁴¹e ¹²⁴  ⁶⁰⁵w ¹⁷⁷r ¹⁰⁰i ⁹⁰t ¹⁰¹e ⁶¹r¦ike i beome fmore insecure writer¦
0¦OTHER¦1581428224839¦1581428258427¦1581428258395¦1581428224839¦1581428258427¦1581428258427¦Yeah, im not used to sending of text with eerrors...So. Do you agree that they should throw out Nick?¦Vlad31,Malin;¦ ⁰Y ³⁰⁷e ¹⁰⁹a ¹⁴¹h ³⁵⁹, ²¹⁵  ³⁰⁰i ⁸²⁵m ¹³⁸  ¹⁰⁴n ²⁶⁷o ⁹¹t ¹²³  ¹⁸⁹u ⁷⁷s ¹⁷⁰e ¹²⁹d ¹³³  ¹³⁸t ¹²³o ²⁶³  ⁶s ¹⁹⁴e ⁷⁷n ¹²³d ³⁰⁷i ⁶²n ⁹³g ¹²⁶  ²⁴⁵o ¹²⁹f ³⁷¹  ³⁰⁹t ⁸⁰e ³⁰⁰x ⁹²t ²⁴⁶  ¹⁰⁹w ²⁰³i ¹⁰⁷t ⁹²h ¹⁷²  ¹²⁵e ¹⁸⁵e ⁶r ²³¹r ¹¹¹⁸o ⁸⁹r ⁴²⁵s ¹⁰²³. ⁵. ¹⁸¹. ⁴²²⁴S ³⁰⁹o ¹⁰³³. ⁴⁰³  ³⁰⁸D ²⁹⁵o ²¹⁸  ¹⁹⁵y ²¹²o ²⁰⁰u ³¹²  ⁵¹⁴a ¹⁵⁶g ²⁴³r ⁶e ²¹⁰e ⁶⁰⁵  ⁸²¹t ⁷⁹h ¹³⁸a ⁹⁴t ³¹³  ²⁹⁴t ¹²⁵h ¹⁸⁵e ¹⁰⁹y ³⁰⁵  ⁷⁹s ²³⁴h ¹⁹⁹o ²⁰⁵u ¹⁷⁰l ¹⁴²d ¹³⁹  ¹²²t ³⁴¹h ¹⁵⁵r ²³²o ⁵¹⁵⁴w ¹³⁸  ²⁶⁴o ¹⁶⁴u ²⁴⁷t ¹²⁵  ¹⁶¹⁶N ¹⁴⁰i ¹³⁸c ¹⁷⁰k ⁴⁷⁶?¦Yeah, im not used to sending of text with eerr▅ors▅...▅▅▅So▅. Do you agree that they should thro▅▅▅w out ▅Nick?¦
0¦SELF¦1581428260676¦1581428288081¦1581428288049¦1581428260676¦1581428288081¦1581428288081¦Yeah, lets throw him outor i mean they will thro w him outi think that is the only logical answer actually ¦Vlad31,Malin;¦ ⁰Y ²³³e ⁹⁰a ⁸⁰h ⁵⁰⁰, ⁴⁹⁷  ³⁵⁶l ¹⁰²e ⁶⁰t ¹⁴²s ¹⁰⁷  ²⁸⁹t ⁴¹⁸h ¹³⁰r ⁸²o ¹⁷⁶w ¹⁷⁰  ³⁰⁶h ⁶¹i ¹⁴²m ⁹⁰  ¹¹⁵o ⁵¹u ⁶¹t ¹³⁴⁶o ¹⁰¹r ⁹⁷  ¹²²⁰i ¹⁷⁴  ¹²¹m ⁷¹e ⁸¹a ¹²⁵n ⁸⁰  ¹⁰⁰⁷t ⁶²h ⁸⁹e ¹²⁰y ²⁴⁶  ³⁷³w ⁴⁹⁸i ⁶¹l ¹⁴⁶l ³⁹  ¹⁸²t ⁹¹h ⁸¹r ⁹³o ¹⁶³  ⁵³⁹w ³²⁵  ⁴⁴⁸h ⁵⁰i ¹⁵³m ⁹⁹  ⁸⁵o ⁶⁷u ⁸⁴t ⁷⁶¹²i ⁹⁹  ⁵¹t ⁸⁴h ⁴⁵i ¹¹³n ¹⁷⁶k ¹⁰¹  ⁷¹t ¹¹⁰h ⁷⁴a ⁷²t ⁹¹  ¹¹²i ¹³¹s ¹³³  ¹³¹t ⁸⁵h ¹¹³e ¹⁰⁶  ⁵¹⁹o ⁸³n ¹³¹l ¹⁰¹y ⁸¹  ¹⁰²l ¹⁵⁴o ⁹¹g ⁹⁰i ¹⁰²c ⁹³a ⁸¹l ¹⁰⁸  ²⁰⁶a ¹⁰⁷n ¹⁰¹s ¹⁵⁹w ¹⁷³e ²¹⁴r ¹⁵¹  ¹⁸²a ¹⁴⁶c ¹⁷²t ⁹⁴u ¹⁰⁸a ¹⁰⁴l ¹³¹l ⁵¹y ¹²⁸⁵ ¦Yeah, lets throw him out▅or ▅i mean ▅they will thro w him out▅▅▅i think that is the only logical answer actually▅ ¦
0¦OTHER¦1581428292418¦1581428344071¦1581428344037¦1581428292418¦1581428344071¦1581428344071¦Yes. If otit wasent for the ballon pilot's skills h i would otherwise have said that they scould for example throe the dice in order to decide, but that is not possible here¦Vlad31,Malin;¦ ⁰Y ³¹³e ³¹⁰s ⁶⁰⁶. ⁵¹⁷  ³¹²I ²⁰¹f ⁵¹⁷  ²⁹⁸o ⁶t ¹⁸⁴⁹i ¹⁰⁷t ²³¹  ²⁶⁶w ¹⁷¹a ¹⁴¹s ¹⁷⁰e ¹⁵³n ¹³⁹t ¹²³  ⁴⁴⁰f ¹o ¹⁴⁸r ²⁵¹  ⁴⁵¹⁹t ¹⁰⁷h ¹⁰⁹e ¹⁴²¹  ⁴⁰⁰b ¹²³a ³⁹³l ⁵l ¹⁹⁶o ³⁰⁹n ³⁰³  ⁴¹⁶p ²¹⁵i ³⁹⁷l ³¹⁵o ³⁰⁸t ⁵³³' ¹²⁶s ²⁵⁸  ⁵s ¹⁹⁶k ¹⁵⁰i ²⁶³l ⁹³l ¹⁷⁴s ⁷⁵⁶  ⁴¹⁵h ¹⁶⁴³  ¹⁵²i ⁶⁶⁰  ²⁰¹w ⁸¹o ²²⁵u ¹⁵³l ⁷⁸d ¹⁶³  ⁵³¹o ⁶²t ⁹⁶h ¹³⁵e ¹²³r ⁶⁰³w ³¹²i ¹s ³¹¹e ⁵  ²¹⁰h ⁹²a ⁵⁰⁸v ⁶e ¹⁵⁴  ⁴⁵⁸s ²⁹⁷a ⁹¹i ²¹⁶d ⁸⁴  ¹⁰⁹t ¹⁰⁸h ¹⁵⁴a ¹²³t ²⁴⁷  ²⁰³t ⁶¹h ¹²⁴e ⁵³²y ²⁴⁹  ²⁵⁹s ¹⁰²⁴c ⁶⁰o ¹⁸⁷u ²⁶⁷l ⁸⁵d ¹⁰⁴⁰  ⁸²⁰f ²¹⁴o ⁶²r ¹⁵³  ²⁹³e ³⁰⁰x ¹³²a ¹²⁰m ²⁶⁵p ¹⁰⁶l ¹²⁴e ⁴⁹²  ¹⁴²⁸t ⁶h ²⁹⁷r ⁷³¹o ¹³³e ¹²²  ¹³⁴t ¹¹⁷h ¹⁹⁸e ¹²³  ¹⁸⁵d ²⁰⁵i ³⁰⁵c ²⁰³e ¹⁷⁴⁶  ²⁵⁹i ¹²⁵n ²³¹  ¹³⁹o ¹²³r ²⁴⁷d ¹⁰⁸e ¹⁹⁹r ⁷⁸  ¹²⁶t ¹²⁴o ²⁹⁴  ⁴¹¹d ¹²⁴e ²⁷⁵c ⁹⁶i ³¹⁵d ⁹⁵e ¹²⁰, ³¹¹  ⁸⁹b ²⁸⁰u ²³⁵t ⁷²³  ¹²²⁶t ¹⁰¹⁹h ⁵a ²t ²  ¹i ¹s ⁴  ²⁹⁵n ⁶¹o ³⁴⁷t ⁴¹⁸  ¹³⁹p ¹³⁸o ¹⁰⁸s ²³²s ⁵i ²⁹⁴b ³⁰⁶l ⁵e ¹⁰²  ¹⁸⁵h ¹²³e ¹⁰⁷r ¹²⁹e¦Yes. If ot▅it wasent for ▅▅▅the▅ ballon pilot's skills h▅ i would otherwise have said that they s▅could▅ for example ▅throe the dice▅ in order to decide, but ▅t▅hat is not possible here¦
0¦SELF¦1581428346631¦1581428378913¦1581428378882¦1581428346631¦1581428378913¦1581428378913¦Yeah I wonder though if he could teach the prodicgy kid how to steer the balloon? and then he could be thrown outee*seems a b¦Vlad31,Malin;¦ ⁰Y ²⁴³e ¹⁰²a ³⁹⁷h ²⁷⁹  ²²⁷⁴I ¹⁷⁶  ¹⁰¹w ³⁹o ¹⁰¹n ⁸¹d ¹⁴¹e ⁷⁵r ⁷¹  ¹⁴²t ⁸⁹h ⁹²o ⁷⁰u ⁸⁵⁵g ⁸²⁵h ¹¹²  ⁵⁰⁶i ¹⁵²f ¹⁰⁴  ⁵⁸⁰h ¹¹⁰e ¹⁰¹  ²⁶⁷c ⁶⁰o ⁸¹u ¹³⁰l ⁶²d ⁸⁴  ¹²⁰t ²⁸³e ¹⁰¹a ¹⁶⁵c ¹¹²h ⁹⁰  ¹⁹⁶t ⁸⁰h ⁸⁰e ⁸⁵  ⁷⁰p ¹⁰¹r ⁸³o ¹⁴⁹d ⁹⁰i ¹⁴²c ⁸⁰⁵g ²⁴⁷y ¹⁰¹  ⁵²⁹k ¹⁴²i ¹⁴²d ¹¹³  ⁷¹²h ⁷⁰o ⁷¹w ¹²²  ¹⁰⁶t ⁷¹o ⁸⁶  ⁸²s ¹⁴⁵t ¹⁷¹e ¹⁶¹e ⁸¹r ²⁰⁶  ¹⁶¹t ⁷⁴h ⁹⁸e ¹¹¹  ⁵⁴⁰b ⁹⁴a ⁶⁰l ¹⁴¹l ¹⁶²o ¹⁵⁶o ⁶⁰n ³⁸⁷? ¹⁷²⁴  ¹⁰⁸⁸a ⁶⁰n ¹¹²d ⁹⁸  ⁶⁸t ⁴⁹h ¹⁴²e ¹²⁵n ¹⁰¹  ⁴⁵⁷h ⁸⁰e ¹⁹²  ⁹¹c ⁹⁰o ⁸⁶u ¹³⁵l ⁵⁷d ⁵⁰  ¹⁴²b ¹³³e ⁶¹  ¹⁰¹t ¹¹¹h ¹⁰¹r ⁵⁹³o ²⁴¹w ⁹⁰n ¹³²  ¹⁷⁵o ¹⁰¹u ⁸⁰t ⁶¹¹⁷e ¹⁸⁵e ⁹³⁷* ⁴⁷²s ¹⁵⁴e ¹⁶⁴e ¹⁹²m ¹⁰²s ⁹⁴  ¹¹⁸a ⁸¹  ¹⁴⁴b¦Yeah ▅▅I wonder though if he could teach the prodicgy kid how to steer the balloon?▅ ▅and then he could be thrown out▅▅▅ee*seems a b¦
0¦OTHER¦1581428378976¦1581428378976¦1581428378944¦1581428378976¦1581428378976¦1581428378976¦M¦Vlad31,Malin;¦ ⁰M¦M¦
0¦SELF¦1581428378989¦1581428379158¦1581428379126¦1581428378989¦1581428379158¦1581428379158¦it ¦Vlad31,Malin;¦ ⁰i ¹⁰⁸t ⁶¹ ¦it ¦
0¦OTHER¦1581428379165¦1581428379165¦1581428379168¦1581428379165¦1581428379165¦1581428379165¦a¦Vlad31,Malin;¦ ⁰a¦a¦
0¦SELF¦1581428379242¦1581428379242¦1581428379210¦1581428379242¦1581428379242¦1581428379242¦h¦Vlad31,Malin;¦ ⁰h¦h¦
0¦OTHER¦1581428379255¦1581428379255¦1581428379223¦1581428379255¦1581428379255¦1581428379255¦y¦Vlad31,Malin;¦ ⁰y¦y¦
0¦SELF¦1581428379298¦1581428381585¦1581428381553¦1581428379298¦1581428381585¦1581428381585¦arsh m¦Vlad31,Malin;¦ ⁰a ⁸⁰r ⁶²⁵s ⁹²h ¹³⁷⁰  ¹²⁰m¦arsh▅ m¦
0¦OTHER¦1581428381592¦1581428381592¦1581428381594¦1581428381592¦1581428381592¦1581428381592¦b¦Vlad31,Malin;¦ ⁰b¦b¦
0¦SELF¦1581428381655¦1581428381770¦1581428381738¦1581428381655¦1581428381770¦1581428381770¦ay¦Vlad31,Malin;¦ ⁰a ¹¹⁵y¦ay¦
0¦OTHER¦1581428381859¦1581428381859¦1581428381827¦1581428381859¦1581428381859¦1581428381859¦e¦Vlad31,Malin;¦ ⁰e¦e¦
0¦SELF¦1581428381868¦1581428382001¦1581428381970¦1581428381868¦1581428382001¦1581428382001¦be¦Vlad31,Malin;¦ ⁰b ¹³³e¦be¦
0¦OTHER¦1581428383662¦1581428394454¦1581428394422¦1581428383662¦1581428394454¦1581428394454¦, but the conditions is not the best for theaching. ¦Vlad31,Malin;¦ ⁰, ¹³⁷  ²⁶⁶b ¹¹⁹u ¹²³t ¹²³  ¹⁰²t ¹¹³h ¹²⁴e ¹⁰⁸  ³¹⁶c ⁶o ³⁰³n ⁹¹d ¹⁷¹i ²⁴⁸t ⁷⁷i ¹³⁹o ¹⁹⁸n ²¹⁰s ⁷¹⁹  ²⁹⁴i ⁷s ³¹³  ¹⁰²⁰n ¹⁰³o ²⁰⁵t ⁹²  ¹²⁸t ¹⁴¹h ¹²³e ¹³⁸  ²⁰⁰b ⁹³e ¹⁶⁹s ²³⁸t ²¹⁵  ⁵⁰¹f ²⁰⁵o ¹⁶⁴r ¹³⁷  ¹⁰²t ¹⁴⁴h ⁷⁷e ³¹⁵a ¹⁹³c ³⁰⁹h ¹³⁹i ¹⁵⁴n ¹⁰⁹g ⁹³⁴. ¹³⁷ ¦, but the conditions is ▅not the best for theaching. ¦
